formula,type,activity,Syngony,shape,"length, nm","width, nm","depth, nm",Sufrace,surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,Subtype,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C"
CoFe2O4,bimeo,peroxidase,7,,4.1,4.1,4.1,additional,naked,oleic acid,0,282.47,0.0065,1.376300000,TMB + H2O2,TMB,1.5000,1.5000,100.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,nanopolyhedrons,13.8,13.8,13.8,additional,naked,oleic acid,0,282.47,0.0554,0.264300000,TMB + H2O2,TMB,1.5000,1.5000,100.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,,4.1,4.1,4.1,additional,naked,oleic acid,0,282.47,0.0355,8.363000000,H2O2 + TMB,H2O2,0.5000,25.0000,100.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,nanopolyhedrons,13.8,13.8,13.8,additional,naked,oleic acid,0,282.47,0.2277,0.438200000,H2O2 + TMB,H2O2,0.5000,25.0000,100.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,near corner-grown cubic,24.5,24.5,24.5,additional,naked,oleic acid,0,282.47,0.0173,1.027200000,TMB + H2O2,TMB,0.2000,100.0000,15.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,starlike,32.1,32.1,32.1,additional,naked,oleic acid,0,282.47,0.0243,0.675300000,TMB + H2O2,TMB,0.2000,100.0000,15.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,near cubic,45.2,45.2,45.2,additional,naked,oleic acid,0,282.47,0.0348,0.646800000,TMB + H2O2,TMB,0.2000,100.0000,15.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,near corner-grown cubic,24.5,24.5,24.5,additional,naked,oleic acid,0,282.47,0.0393,1.281300000,H2O2 + TMB,H2O2,0.5000,25.0000,100.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,starlike,32.1,32.1,32.1,additional,naked,oleic acid,0,282.47,0.0661,0.920300000,H2O2 + TMB,H2O2,0.5000,25.0000,100.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,near cubic,45.2,45.2,45.2,additional,naked,oleic acid,0,282.47,0.1107,1.042200000,H2O2 + TMB,H2O2,0.5000,25.0000,100.000,0.0000262,4,37
CoFe2O4,bimeo,peroxidase,7,cubic,14,14,14,naked,naked,0,0,0.00,0.0752,0.000255451,H2O2 + TMB,H2O2,0.0010,100.0000,15.000,0.0080000,6,25
MnFe2O4,bimeo,peroxidase,7,spherical,4,4,4,additional,naked,oleic acid,0,282.47,0.0015,6.980000000,TMB + H2O2,TMB,0.0010,1.1100,10.000,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,spherical,16,16,16,additional,naked,oleic acid,0,282.47,0.0964,0.353000000,TMB + H2O2,TMB,0.0010,1.1100,10.000,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,plate-like,18,18,18,additional,naked,oleic acid,0,282.47,0.0258,1.550000000,TMB + H2O2,TMB,0.0010,1.1100,10.000,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,near-cubic,27,27,27,additional,naked,oleic acid,0,282.47,0.0330,0.730000000,TMB + H2O2,TMB,0.0010,1.1100,10.000,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,spherical,4,4,4,additional,naked,oleic acid,0,282.47,0.1120,7.150000000,H2O2 + TMB,H2O2,0.0010,24.0000,1.500,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,spherical,16,16,16,additional,naked,oleic acid,0,282.47,0.5430,0.515000000,H2O2 + TMB,H2O2,0.0010,24.0000,1.500,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,plate-like,18,18,18,additional,naked,oleic acid,0,282.47,0.2420,4.940000000,H2O2 + TMB,H2O2,0.0010,24.0000,1.500,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,near-cubic,27,27,27,additional,naked,oleic acid,0,282.47,0.3040,1.760000000,H2O2 + TMB,H2O2,0.0010,24.0000,1.500,0.0005000,3.5,37
MnFe2O4,bimeo,peroxidase,7,,6,6,6,additional,naked,0,citric acid,192.12,0.6050,0.000053800,TMB + H2O2,TMB,0.0010,0.8000,0.000,0.0400000,3.5,25
MnFe2O4,bimeo,peroxidase,7,,6,6,6,additional,naked,0,citric acid,192.12,0.5280,0.000021500,H2O2 + TMB,H2O2,0.0010,14.0000,0.800,0.0400000,3.5,25
MgFe2O4,bimeo,peroxidase,7,spherical,220,220,220,additional,naked,poly(ethylene oxide),0,20000.00,0.6700,0.000020900,TMB + H2O2,TMB,,0.4000,,0.0400000,4,45
MgFe2O4,bimeo,peroxidase,7,spherical,220,220,220,additional,naked,poly(ethylene oxide),0,20000.00,0.1400,0.000125400,ABTS + H2O2,ABTS,0.1200,0.4000,12.000,0.0400000,4,45
MgFe2O4,bimeo,peroxidase,7,spherical,220,220,220,additional,naked,poly(ethylene oxide),0,20000.00,4.6100,0.000134600,H2O2 + TMB,H2O2,1.0000,20.0000,0.400,0.0400000,4,45
NiFe2O4,bimeo,peroxidase,7,spherical-like,200,200,200,additional,naked,poly(ethylene oxide),0,20000.00,0.5500,0.000045700,TMB + H2O2,TMB,,,,0.0400000,4,45
NiFe2O4,bimeo,peroxidase,7,spherical-like,200,200,200,additional,naked,poly(ethylene oxide),0,20000.00,0.4600,0.000174800,ABTS + H2O2,ABTS,0.1200,0.4000,12.000,0.0400000,4,45
NiFe2O4,bimeo,peroxidase,7,spherical-like,200,200,200,additional,naked,poly(ethylene oxide),0,20000.00,2.6000,0.000141100,H2O2 + TMB,H2O2,1.0000,20.0000,0.400,0.0400000,4,45
ZnFe2O4,bimeo,peroxidase,7,flower-like,104,27,27,naked,naked,0,0,0.00,490.7200,0.000063200,H2O2 + TMB,H2O2,9.5000,634.0000,10.000,1.6666667,4,25
ZnFe2O4,bimeo,peroxidase,7,flower-like,104,27,27,naked,naked,0,0,0.00,0.5090,0.000091800,TMB + H2O2,TMB,36.0000,678.0000,176.000,1.6666667,4,25
ZnFe2O4,bimeo,peroxidase,7,spherical,200,200,200,additional,naked,poly(ethylene oxide),ethylene glycol,20000.00,0.8500,0.000133100,TMB + H2O2,TMB,0.1000,1.6000,0.200,0.0400000,4,40
ZnFe2O4,bimeo,peroxidase,7,spherical,200,200,200,additional,naked,poly(ethylene oxide),ethylene glycol,20000.00,1.6600,0.000077400,H2O2 + TMB,H2O2,0.0010,16.0000,0.320,0.0400000,4,40
NiCo2O4,bimeo,peroxidase,2,spherical,100,100,100,additional,naked,0,ethylene glycol,62.07,0.1420,0.000022230,TMB + H2O2,TMB,0.0100,1.5000,0.200,0.0200000,4,37
NiCo2O4,bimeo,peroxidase,2,spherical,100,100,100,additional,naked,0,ethylene glycol,62.07,9.4060,0.000258400,H2O2 + TMB,H2O2,0.1000,20.0000,4.000,0.0200000,4,37
CdCo2O4,bimeo,peroxidase,7,nanosheets,250,50,50,additional,naked,poly(ethylene oxide),0,200.00,0.3170,0.000021900,TMB + H2O2,TMB,0.1000,8.0000,3.000,0.2000000,4,35
CdCo2O4,bimeo,peroxidase,7,nanosheets,250,50,50,additional,naked,poly(ethylene oxide),0,200.00,0.3250,0.000037500,H2O2 + TMB,H2O2,0.1000,3.0000,8.000,0.2000000,4,35
CuWO4,bimeo,peroxidase,1,spherical,66,66,66,naked,naked,0,0,0.00,0.2000,0.004720000,TMB + H2O2,TMB,0.0100,0.6200,4.700,1.0000000,3,28
CuWO4,bimeo,peroxidase,1,spherical,66,66,66,naked,naked,0,0,0.00,0.3800,0.000113000,H2O2 + TMB,H2O2,0.2000,2.1000,0.240,1.0000000,3,28
FeWO4,bimeo,peroxidase,2,round hexangular,5000,5000,1600,naked,naked,0,0,0.00,1.1800,0.000114800,TMB + H2O2,TMB,0.0200,0.6000,370.000,0.0380000,3,40
FeWO4,bimeo,peroxidase,2,round hexangular,5000,5000,1600,naked,naked,0,0,0.00,0.5900,0.000021800,H2O2 + TMB,H2O2,0.2000,10.0000,0.190,0.0380000,3,40
Co2V2O7,bimeo,peroxidase,2,cubic granular,250,250,250,naked,naked,0,0,0.00,0.3110,0.000025800,TMB + H2O2,TMB,0.0500,0.4000,8.000,0.0300000,5,30
Co2V2O7,bimeo,peroxidase,2,cubic granular,250,250,250,naked,naked,0,0,0.00,0.6690,0.000012500,H2O2 + TMB,H2O2,0.5000,7.0000,0.500,0.0300000,5,30
FeVO4,bimeo,peroxidase,3,belt-like,2000,100,100,naked,naked,0,0,0.00,0.6910,0.000025100,TMB + H2O2,TMB,0.1000,0.8000,10.000,0.1000000,4,25
FeVO4,bimeo,peroxidase,3,belt-like,2000,100,100,naked,naked,0,0,0.00,0.0732,0.000027200,H2O2 + TMB,H2O2,10.0000,250.0000,0.800,0.1000000,4,25
AgVO3,bimeo,peroxidase,2,tetragonal rod-like,2000,500,500,naked,naked,0,0,0.00,0.3330,no,TMB + H2O2,TMB,0.0500,1.0000,0.600,0.0200000,4,25
AgVO3,bimeo,peroxidase,2,tetragonal rod-like,2000,500,500,naked,naked,0,0,0.00,1.3000,no,H2O2 + TMB,H2O2,0.0500,1.0000,0.400,0.0200000,4,25
AgVO3,bimeo,peroxidase,2,nanorod-like,800,54,54,naked,naked,0,0,0.00,0.0412,no,TMB + H2O2,TMB,0.0100,0.3000,8.000,0.0045000,4,25
AgVO3,bimeo,peroxidase,2,nanorod-like,800,54,54,naked,naked,0,0,0.00,5.2910,no,H2O2 + TMB,H2O2,1.0000,50.0000,0.100,0.0045000,4,25
CoMoO4,bimeo,peroxidase,2,belt-like,5000,300,300,naked,naked,0,0,0.00,0.0770,0.000510500,TMB + H2O2,TMB,0.1000,0.8000,20.000,0.0150000,4,25
AgVO3,bimeo,peroxidase,2,nanobelts,1500,100,100,naked,naked,0,0,0.00,8.0300,no,TMB + H2O2,TMB,0.6000,1.6000,10.000,0.3000000,5,25
AgVO3,bimeo,peroxidase,2,nanobelts,1500,100,100,naked,naked,0,0,0.00,14.0000,no,H2O2 + TMB,H2O2,1.0000,50.0000,0.800,0.3000000,5,25
CoMoO4,bimeo,peroxidase,2,belt-like,5000,300,300,naked,naked,0,0,0.00,1.1150,0.000116200,H2O2 + TMB,H2O2,1.0000,50.0000,8.000,0.0150000,4,25
CuMnO2,bimeo,peroxidase,2,flake-like,100,100,1.6,naked,naked,0,0,0.00,0.5770,0.000081500,TMB + H2O2,TMB,0.1000,1.5000,100.000,0.0100000,4.5,25
CuMnO2,bimeo,peroxidase,2,flake-like,100,100,1.6,naked,naked,0,0,0.00,27.6530,0.000276500,H2O2 + TMB,H2O2,1.0000,200.0000,500.000,0.0100000,4.5,25
Cu0.89Zn0.11O,bimeo,peroxidase,5,,7.5,7.5,7.5,naked,naked,0,0,0.00,10.0000,0.000028770,TMB + H2O2,TMB,0.2000,10.0000,200.000,0.1000000,4.65,25
Cu0.89Zn0.11O,bimeo,peroxidase,5,,7.5,7.5,7.5,naked,naked,0,0,0.00,71.0000,0.000003000,H2O2 + TMB,H2O2,10.0000,100.0000,10.000,0.1000000,4.65,25
Fe2(MoO4)3,bimeo,peroxidase,3,belt,2000,200,200,naked,naked,0,0,0.00,1.1260,0.000037300,TMB + H2O2,TMB,0.1000,0.8000,10.000,0.3000000,4,25
Fe2(MoO4)3,bimeo,peroxidase,3,belt,2000,200,200,naked,naked,0,0,0.00,0.1060,0.000075100,H2O2 + TMB,H2O2,2.0000,50.0000,8.000,0.3000000,4,25
(CeO2)0.10/CoO,comp,peroxidase,7,flower-like,600,600,600,naked,naked,0,0,0.00,0.2450,0.000147800,H2O2 + TMB,H2O2,0.1000,1.0000,0.020,0.0300000,5,25
(CeO2)0.10/CoO,comp,peroxidase,7,flower-like,600,600,600,naked,naked,0,0,0.00,0.1330,0.001101000,TMB + H2O2,TMB,0.0200,0.2000,20.000,0.0300000,5,25
CoO/CeO2,comp,peroxidase,7,fluorite-type,1500,100,100,naked,naked,0,0,0.00,1.8100,0.000027000,TMB + H2O2,TMB,0.3000,3.0000,0.100,0.0833333,3.6,25
CoO/CeO2,comp,peroxidase,7,fluorite-type,1500,100,100,naked,naked,0,0,0.00,0.0210,0.000028000,H2O2 + TMB,H2O2,0.0100,0.1300,3.000,0.0833333,3.6,25
Co3O4/CeO2,comp,peroxidase,7,wrinkled-like,2000,200,200,additional,naked,poly(N-Vinylpyrrolidone),0,,0.3600,0.000166600,TMB + H2O2,TMB,1.0000,3.0000,1.200,3.0000000,6,30
Co3O4/CeO2,comp,peroxidase,7,wrinkled-like,1003,103,103,additional,naked,poly(N-Vinylpyrrolidone),0,,132.2100,0.000043400,H2O2 + TMB,H2O2,50.0000,500.0000,0.800,3.0000000,6,30
Fe3O4@CeO2,comp,peroxidase,7,spherical,630,630,630,naked,naked,0,0,0.00,0.1500,0.000006400,TMB + H2O2,TMB,0.0500,1.0000,50.000,0.1662434,3.5,40
Fe3O4@CeO2,comp,peroxidase,7,spherical,630,630,630,naked,naked,0,0,0.00,1.1300,0.000125000,H2O2 + TMB,H2O2,0.5000,4.0000,100.000,0.1662434,3.5,40
Pd/CeO2,comp,peroxidase,7,,59,27,27,naked,naked,0,0,0.00,0.3900,0.000059400,TMB + H2O2,TMB,0.0100,1.0000,327.000,0.0016700,4,30
Pd/CeO2,comp,peroxidase,7,,59,27,27,naked,naked,0,0,0.00,9.4300,0.000019100,H2O2 + TMB,H2O2,0.0010,"1,000.0000",0.167,0.0016700,4,30
Ce-Fe3O4,comp,peroxidase,7,spherical,15,15,15,naked,naked,0,0,0.00,0.0180,0.000012500,TMB + H2O2,TMB,0.0050,0.3000,0.400,0.0150000,4,25
Ce-Fe3O4,comp,peroxidase,7,spherical,15,15,15,naked,naked,0,0,0.00,6.9420,0.000500000,H2O2 + TMB,H2O2,0.0050,0.4000,0.200,0.0150000,4,25
Fe3O4-MnO2,comp,peroxidase,4,sea urchins,2000,2000,2000,naked,naked,0,0,0.00,0.1010,0.000005700,TMB + H2O2,TMB,0.0500,0.3000,20.000,0.1662434,4,40
Fe3O4-MnO2,comp,peroxidase,4,sea urchins,2000,2000,2000,naked,naked,0,0,0.00,0.0410,0.000029400,H2O2 + TMB,H2O2,0.0010,1.0000,0.300,0.1662434,4,40
Pt-WO2.72,comp,peroxidase,2,plates,30,17,17,naked,naked,0,0,0.00,0.1050,no,TMB + H2O2,TMB,0.3000,0.3000,20.000,0.0050000,4,40
Pt-WO2.72,comp,peroxidase,2,plates,30,17,17,naked,naked,0,0,0.00,8.4500,no,H2O2 + TMB,H2O2,20.0000,20.0000,0.300,0.0050000,4,40
Fe3O4,meo,peroxidase,7,spherical,15,15,15,naked,naked,0,0,0.00,0.1070,0.000036200,TMB + H2O2,TMB,0.0050,0.3000,0.400,0.0150000,4,25
Fe3O4,meo,peroxidase,7,spherical,15,15,15,naked,naked,0,0,0.00,155.0000,0.000091100,H2O2 + TMB,H2O2,0.0050,0.4000,0.200,0.0150000,4,25
Fe3O4,meo,peroxidase,7,cluster spheres,169.1,169.1,169.1,naked,naked,0,0,0.00,0.2300,no,TMB + H2O2,TMB,0.8160,0.8160,530.000,#REF!,4,25
Fe3O4,meo,peroxidase,7,triangular plates,215.7,185,185,naked,naked,0,0,0.00,0.4600,no,TMB + H2O2,TMB,0.8160,0.8160,530.000,#REF!,4,25
Fe3O4,meo,peroxidase,7,octahedra,222.8,222.8,222.8,naked,naked,0,0,0.00,0.5800,no,TMB + H2O2,TMB,0.8160,0.8160,530.000,#REF!,4,25
Fe3O4,meo,peroxidase,7,spheres,246.6,246.6,246.6,naked,naked,0,0,0.00,3.8900,0.000149300,TMB + H2O2,TMB,0.0500,0.3000,20.000,0.1662434,4,40
Fe3O4,meo,peroxidase,7,spheres,246.6,246.6,246.6,naked,naked,0,0,0.00,2.4600,0.000096200,H2O2 + TMB,H2O2,0.0010,1.0000,0.300,0.1662434,4,40
MnO2,meo,peroxidase,4,sea urchins,2000,2000,2000,naked,naked,0,0,0.00,1.4100,0.000039600,TMB + H2O2,TMB,0.0500,0.3000,20.000,0.1662434,4,40
MnO2,meo,peroxidase,4,sea urchins,2000,2000,2000,naked,naked,0,0,0.00,1.3400,0.000077500,H2O2 + TMB,H2O2,0.0010,1.0000,0.300,0.1662434,4,40
CuO,meo,peroxidase,2,,5,5,5,naked,naked,0,0,0.00,25.0000,0.000104900,TMB + H2O2,TMB,0.2000,10.0000,200.000,0.1000000,4.65,37
CuO,meo,peroxidase,2,,5,5,5,naked,naked,0,0,0.00,400.0000,0.000161000,H2O2 + TMB,H2O2,10.0000,100.0000,10.000,0.1000000,4.65,37
GeO2,meo,peroxidase,4,besom‐like,1000,100,100,naked,naked,0,0,0.00,0.4200,0.000233970,TMB + H2O2,TMB,0.0010,1.0000,4.000,0.1000000,4,37
GeO2,meo,peroxidase,4,besom‐like,1000,100,100,naked,naked,0,0,0.00,1.7500,0.000234000,H2O2 + TMB,H2O2,0.0010,4.0000,1.000,0.1000000,4,37
MoO2,meo,peroxidase,2,rice-like,44.6,20.8,20.8,naked,naked,0,0,0.00,0.0140,0.000004100,H2O2 + TMB,H2O2,0.0100,0.1200,0.020,0.0256000,4,25
MoO2,meo,peroxidase,2,rice-like,44.6,20.8,20.8,naked,naked,0,0,0.00,8.8500,0.000052000,TMB + H2O2,TMB,0.2000,1.7000,0.800,0.0256000,4,25
WO3,meo,peroxidase,4,plates,30,6,6,naked,naked,0,0,0.00,10.6000,0.000015300,TMB + H2O2,TMB,0.2000,1.4000,0.060,0.0016000,2,25
WO3,meo,peroxidase,4,plates,30,6,6,naked,naked,0,0,0.00,1260.0000,0.000030000,H2O2 + TMB,H2O2,0.0200,0.1400,1.400,0.0016000,2,25
WO2.92,meo,peroxidase,7,spherical,1.33,1.33,1.33,naked,naked,0,0,0.00,0.7900,no,ABTS + H2O2,ABTS,0.0010,4.0000,4.000,0.3500000,6,37
WO2.92,meo,peroxidase,7,spherical,1.33,1.33,1.33,naked,naked,0,0,0.00,1.2600,no,H2O2 + TMB,H2O2,0.0010,6.0000,0.800,0.3500000,6,37
W18O49,meo,peroxidase,2,spherical,100,100,100,naked,naked,0,0,0.00,0.0030,0.001240000,TMB + H2O2,TMB,0.0250,0.8000,50.000,0.0500000,4,35
W18O49,meo,peroxidase,2,spherical,100,100,100,naked,naked,0,0,0.00,8.7340,0.001220000,H2O2 + TMB,H2O2,3.2500,200.0000,0.600,0.0500000,4,35
Au,me,peroxidase,7,spherical,14,14,14,additional,naked,0,citric acid,192.12,0.2000,0.000055900,TMB + H2O2,TMB,0.5840,0.5840,373.000,0.0478000,3.6,25
Au,me,peroxidase,7,spherical,14,14,14,additional,naked,0,citric acid,192.12,572.9800,0.000097700,H2O2 + TMB,H2O2,373.0000,373.0000,0.584,0.0478000,3.6,25
Au,me,peroxidase,7,spherical,14,14,14,naked,naked,0,0,0.00,92.3000,0.000031100,ABTS + H2O2,ABTS,0.5840,0.5840,373.000,0.0478000,3.6,25
Au,me,peroxidase,7,spherical,14,14,14,naked,naked,0,0,0.00,546.6000,0.000050400,H2O2 + TMB,H2O2,373.0000,373.0000,0.584,0.0478000,3.6,25
Fe2O3,meo,peroxidase,7,,14.5,14.5,14.5,naked,naked,0,0,0.00,0.2980,0.000073600,TMB + H2O2,TMB,0.0100,1.0000,700.000,0.0050000,3.5,25
Fe2O3,meo,peroxidase,7,,14.5,14.5,14.5,naked,naked,0,0,0.00,146.7000,0.000063700,H2O2 + TMB,H2O2,10.0000,"1,000.0000",0.800,0.0050000,3.5,25
Fe2O3,meo,peroxidase,7,,12.3,13.3,14.3,naked,naked,0,0,0.00,0.0997,0.000520000,TMB + H2O2,TMB,0.0200,1.1000,500.000,0.0625000,3.5,25
Fe2O3,meo,peroxidase,7,,12.3,13.3,14.3,naked,naked,0,0,0.00,144.3000,0.000018400,H2O2 + TMB,H2O2,0.1000,700.0000,0.700,0.0625000,3.5,25
